home_team,away_team,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_result,group
Qatar,Ecuador,101.0,60.0,332.0,1376.0,Lose,Group A
England,IR Iran,16.0,33.0,1046.0,791.0,Win,Group B
Senegal,Netherlands,27.0,21.0,861.0,963.0,Lose,Group A
USA,Wales,25.0,20.0,867.0,983.0,Draw,Group B
Argentina,Saudi Arabia,5.0,64.0,1253.0,521.0,Lose,Group C
Denmark,Tunisia,12.0,23.0,1098.0,919.0,Draw,Group D
Mexico,Poland,17.0,6.0,1032.0,1228.0,Draw,Group C
France,Australia,9.0,37.0,1185.0,740.0,Win,Group D
Morocco,Croatia,40.0,18.0,737.0,975.0,Draw,Group F
Germany,Japan,1.0,55.0,1609.0,593.0,Lose,Group E
Spain,Costa Rica,6.0,25.0,1228.0,858.0,Win,Group E
Belgium,Canada,5.0,90.0,1336.0,387.0,Win,Group F
Switzerland,Cameroon,8.0,45.0,1196.0,695.0,Win,Group G
Uruguay,Korea Republic,22.0,61.0,931.0,519.0,Draw,Group H
Portugal,Ghana,3.0,52.0,1360.0,1412.0,Win,Group H
Brazil,Serbia,2.0,34.0,1430.0,779.0,Win,Group G
Wales,IR Iran,20.0,33.0,983.0,791.0,Lose,Group B
Qatar,Senegal,101.0,27.0,332.0,861.0,Lose,Group A
Netherlands,Ecuador,21.0,60.0,963.0,1376.0,Draw,Group A
England,USA,16.0,25.0,1046.0,867.0,Draw,Group B
Tunisia,Australia,23.0,37.0,919.0,740.0,Lose,Group D
Poland,Saudi Arabia,6.0,64.0,1228.0,521.0,Win,Group C
France,Denmark,9.0,12.0,1185.0,1098.0,Win,Group D
Argentina,Mexico,5.0,17.0,1253.0,1032.0,Win,Group C
Japan,Costa Rica,55.0,25.0,593.0,858.0,Lose,Group E
Belgium,Morocco,5.0,40.0,1336.0,737.0,Lose,Group F
Croatia,Canada,18.0,90.0,975.0,387.0,Win,Group F
Spain,Germany,6.0,1.0,1228.0,1609.0,Draw,Group E
Cameroon,Serbia,45.0,34.0,695.0,779.0,Draw,Group G
Korea Republic,Ghana,61.0,52.0,519.0,1412.0,Lose,Group H
Brazil,Switzerland,2.0,8.0,1430.0,1196.0,Win,Group G
Portugal,Uruguay,3.0,22.0,1360.0,931.0,Win,Group H
Ecuador,Senegal,60.0,27.0,1376.0,861.0,Lose,Group A
Netherlands,Qatar,21.0,101.0,963.0,332.0,Win,Group A
Wales,England,20.0,16.0,983.0,1046.0,Lose,Group B
IR Iran,USA,33.0,25.0,791.0,867.0,Lose,Group B
Australia,Denmark,37.0,12.0,740.0,1098.0,Win,Group D
Tunisia,France,23.0,9.0,919.0,1185.0,Win,Group D
Poland,Argentina,6.0,5.0,1228.0,1253.0,Lose,Group C
Saudi Arabia,Mexico,64.0,17.0,521.0,1032.0,Lose,Group C
Croatia,Belgium,18.0,5.0,975.0,1336.0,Draw,Group F
Canada,Morocco,90.0,40.0,387.0,737.0,Lose,Group F
Japan,Spain,55.0,6.0,593.0,1228.0,Win,Group E
Costa Rica,Germany,25.0,1.0,858.0,1609.0,Lose,Group E
Ghana,Uruguay,52.0,22.0,1412.0,931.0,Lose,Group H
Korea Republic,Portugal,61.0,3.0,519.0,1360.0,Win,Group H
Serbia,Switzerland,34.0,8.0,779.0,1196.0,Lose,Group G
Cameroon,Brazil,45.0,2.0,695.0,1430.0,Win,Group G
Netherlands,USA,21.0,25.0,963.0,867.0,Win,O
Argentina,Australia,5.0,37.0,1253.0,740.0,Win,O
France,Poland,9.0,6.0,1185.0,1228.0,Win,O
England,Senegal,16.0,27.0,1046.0,861.0,Win,O
Japan,Croatia,55.0,18.0,593.0,975.0,Lose,O
Brazil,Korea Republic,2.0,61.0,1430.0,519.0,Win,O
Morocco,Spain,40.0,6.0,737.0,1228.0,Win,O
Portugal,Switzerland,3.0,8.0,1360.0,1196.0,Win,O
Croatia,Brazil,18.0,2.0,975.0,1430.0,Win,Q
Netherlands,Argentina,21.0,5.0,963.0,1253.0,Win,Q
Morocco,Portugal,40.0,3.0,737.0,1360.0,Win,Q
England,France,16.0,9.0,1046.0,1185.0,Lose,Q
Argentina,Croatia,5.0,18.0,1253.0,975.0,Win,S
France,Morocco,9.0,40.0,1185.0,737.0,Win,S
Croatia,Morocco,18.0,40.0,975.0,737.0,Win,F2
Argentina,France,5.0,9.0,1253.0,1185.0,Win,F1
